T,M
4850, 0.242
4851, 0.244
4852, 0.241
4853, 0.255
4854, 0.254
4855, 0.262
4856, 0.258
4857, 0.255
4858, 0.258
4859, 0.259
4860, 0.260
4861, 0.257
4862, 0.265
4863, 0.268
4864, 0.265
4865, 0.264
4866, 0.260
4867, 0.251
4868, 0.244
4869, 0.245
4870, 0.250
4871, 0.240
4872, 0.246
4873, 0.245
4874, 0.248
4875, 0.226
4876, 0.228
4877, 0.219
4878, 0.215
4879, 0.222
4880, 0.226
4881, 0.220
4882, 0.225
4883, 0.229
4884, 0.224
4885, 0.224
4886, 0.232
4887, 0.227
4888, 0.227
4889, 0.218
4890, 0.215
4891, 0.204
4892, 0.215
4893, 0.212
4894, 0.205
4895, 0.205
4896, 0.206
4897, 0.213
4898, 0.214
4899, 0.209
4900, 0.212
4901, 0.219
4902, 0.226
4903, 0.223
4904, 0.220
4905, 0.223
4906, 0.227
4907, 0.237
4908, 0.237
4909, 0.234
4910, 0.240
4911, 0.254
4912, 0.254
4913, 0.252
4914, 0.253
4915, 0.246
4916, 0.242
4917, 0.232
4918, 0.240
4919, 0.254
4920, 0.262
4921, 0.258
4922, 0.258
4923, 0.246
4924, 0.243
4925, 0.240
4926, 0.240
4927, 0.233
4928, 0.233
4929, 0.237
4930, 0.243
4931, 0.233
4932, 0.242
4933, 0.243
4934, 0.237
4935, 0.232
4936, 0.233
4937, 0.221
4938, 0.208
4939, 0.208
4940, 0.210
4941, 0.208
4942, 0.212
4943, 0.205
4944, 0.204
4945, 0.209
4946, 0.197
4947, 0.194
4948, 0.192
4949, 0.185
4950, 0.182
4951, 0.188
4952, 0.185
4953, 0.183
4954, 0.187
4955, 0.183
4956, 0.178
4957, 0.188
4958, 0.188
4959, 0.187
4960, 0.187
4961, 0.200
4962, 0.211
4963, 0.216
4964, 0.223
4965, 0.229
4966, 0.229
4967, 0.227
4968, 0.229
4969, 0.222
4970, 0.225
4971, 0.225
4972, 0.235
4973, 0.221
4974, 0.221
4975, 0.229
4976, 0.226
4977, 0.227
4978, 0.236
4979, 0.238
4980, 0.235
4981, 0.230
4982, 0.234
4983, 0.237
4984, 0.242
4985, 0.251
4986, 0.256
4987, 0.252
4988, 0.254
4989, 0.262
4990, 0.261
4991, 0.260
4992, 0.259
4993, 0.257
4994, 0.266
4995, 0.261
4996, 0.254
4997, 0.254
4998, 0.254
4999, 0.256
5000, 0.248
5001, 0.249
5002, 0.243
5003, 0.245
5004, 0.241
5005, 0.244
5006, 0.242
5007, 0.244
5008, 0.242
5009, 0.245
5010, 0.250
5011, 0.255
5012, 0.253
5013, 0.251
5014, 0.250
5015, 0.260
5016, 0.260
5017, 0.251
5018, 0.248
5019, 0.249
5020, 0.257
5021, 0.253
5022, 0.244
5023, 0.234
5024, 0.242
5025, 0.240
5026, 0.246
5027, 0.250
5028, 0.247
5029, 0.247
5030, 0.258
5031, 0.265
5032, 0.271
5033, 0.279
5034, 0.282
5035, 0.285
5036, 0.295
5037, 0.294
5038, 0.289
5039, 0.283
5040, 0.281
5041, 0.274
5042, 0.276
5043, 0.278
5044, 0.281
5045, 0.279
5046, 0.275
5047, 0.278
5048, 0.276
5049, 0.280
5050, 0.281
5051, 0.277
5052, 0.274
5053, 0.277
5054, 0.277
5055, 0.279
5056, 0.290
5057, 0.292
5058, 0.280
5059, 0.284
5060, 0.284
5061, 0.283
5062, 0.277
5063, 0.276
5064, 0.280
5065, 0.286
5066, 0.281
5067, 0.287
5068, 0.277
5069, 0.291
5070, 0.301
5071, 0.297
5072, 0.300
5073, 0.303
5074, 0.300
5075, 0.295
5076, 0.294
5077, 0.293
5078, 0.293
5079, 0.300
5080, 0.293
5081, 0.296
5082, 0.300
5083, 0.309
5084, 0.312
5085, 0.307
5086, 0.313
5087, 0.315
5088, 0.309
5089, 0.321
5090, 0.321
5091, 0.326
5092, 0.326
5093, 0.334
5094, 0.334
5095, 0.336
5096, 0.329
5097, 0.328
5098, 0.333
5099, 0.341
5100, 0.341
5101, 0.330
5102, 0.317
5103, 0.312
5104, 0.299
5105, 0.305
5106, 0.309
5107, 0.307
5108, 0.313
5109, 0.317
5110, 0.306
5111, 0.308
5112, 0.318
5113, 0.319
5114, 0.323
5115, 0.322
5116, 0.327
5117, 0.325
5118, 0.328
5119, 0.327
5120, 0.339
5121, 0.338
5122, 0.336
5123, 0.340
5124, 0.345
5125, 0.339
5126, 0.340
5127, 0.345
5128, 0.342
5129, 0.346
5130, 0.342
5131, 0.350
5132, 0.351
5133, 0.356
5134, 0.345
5135, 0.343
5136, 0.350
5137, 0.344
5138, 0.343
5139, 0.349
5140, 0.349
5141, 0.347
5142, 0.341
5143, 0.353
5144, 0.361
5145, 0.360
5146, 0.360
5147, 0.375
5148, 0.368
5149, 0.367
5150, 0.363
5151, 0.357
5152, 0.358
5153, 0.352
5154, 0.355
5155, 0.352
5156, 0.352
5157, 0.358
5158, 0.349
5159, 0.342
5160, 0.351
5161, 0.343
5162, 0.338
5163, 0.337
5164, 0.338
5165, 0.343
5166, 0.342
5167, 0.347
5168, 0.355
5169, 0.346
5170, 0.346
5171, 0.332
5172, 0.323
5173, 0.323
5174, 0.326
5175, 0.336
5176, 0.340
5177, 0.338
5178, 0.338
5179, 0.344
5180, 0.345
5181, 0.352
5182, 0.355
5183, 0.355
5184, 0.352
5185, 0.349
5186, 0.342
5187, 0.337
5188, 0.326
5189, 0.323
5190, 0.322
5191, 0.311
5192, 0.319
5193, 0.316
5194, 0.324
5195, 0.324
5196, 0.328
5197, 0.322
5198, 0.327
5199, 0.320
5200, 0.316
5201, 0.318
5202, 0.334
5203, 0.338
5204, 0.341
5205, 0.343
5206, 0.337
5207, 0.334
5208, 0.336
5209, 0.332
5210, 0.336
5211, 0.324
5212, 0.324
5213, 0.329
5214, 0.330
5215, 0.334
5216, 0.330
5217, 0.325
5218, 0.331
5219, 0.335
5220, 0.335
5221, 0.339
5222, 0.339
5223, 0.347
5224, 0.357
5225, 0.354
5226, 0.353
5227, 0.351
5228, 0.354
5229, 0.355
5230, 0.354
5231, 0.359
5232, 0.365
5233, 0.362
5234, 0.364
5235, 0.360
5236, 0.354
5237, 0.355
5238, 0.360
5239, 0.361
5240, 0.358
5241, 0.361
5242, 0.357
5243, 0.347
5244, 0.342
5245, 0.353
5246, 0.361
5247, 0.366
5248, 0.369
5249, 0.366
5250, 0.374
5251, 0.373
5252, 0.386
5253, 0.388
5254, 0.397
5255, 0.397
5256, 0.393
5257, 0.393
5258, 0.390
5259, 0.389
5260, 0.386
5261, 0.389
5262, 0.401
5263, 0.403
5264, 0.402
5265, 0.403
5266, 0.400
5267, 0.400
5268, 0.400
5269, 0.397
5270, 0.401
5271, 0.404
5272, 0.393
5273, 0.393
5274, 0.390
5275, 0.383
5276, 0.386
5277, 0.382
5278, 0.366
5279, 0.371
5280, 0.368
5281, 0.377
5282, 0.377
5283, 0.375
5284, 0.379
5285, 0.387
5286, 0.384
5287, 0.377
5288, 0.376
5289, 0.373
5290, 0.376
5291, 0.369
5292, 0.370
5293, 0.370
5294, 0.370
5295, 0.368
5296, 0.371
5297, 0.374
5298, 0.371
5299, 0.360
5300, 0.356
5301, 0.351
5302, 0.351
5303, 0.353
5304, 0.349
5305, 0.347
5306, 0.354
5307, 0.358
5308, 0.353
5309, 0.349
5310, 0.353
5311, 0.356
5312, 0.358
5313, 0.346
5314, 0.347
5315, 0.348
5316, 0.339
5317, 0.343
5318, 0.343
5319, 0.336
5320, 0.320
5321, 0.333
5322, 0.337
5323, 0.329
5324, 0.334
5325, 0.334
5326, 0.338
5327, 0.341
5328, 0.339
5329, 0.336
5330, 0.340
5331, 0.347
5332, 0.345
5333, 0.350
5334, 0.354
5335, 0.357
5336, 0.355
5337, 0.360
5338, 0.365
5339, 0.356
5340, 0.358
5341, 0.363
5342, 0.358
5343, 0.356
5344, 0.355
5345, 0.351
5346, 0.350
5347, 0.351
5348, 0.349
5349, 0.337
5350, 0.335
5351, 0.330
5352, 0.334
5353, 0.328
5354, 0.326
5355, 0.317
5356, 0.316
5357, 0.320
5358, 0.328
5359, 0.340
5360, 0.340
5361, 0.335
5362, 0.329
5363, 0.326
5364, 0.336
5365, 0.337
5366, 0.343
5367, 0.343
5368, 0.335
5369, 0.345
5370, 0.343
5371, 0.351
5372, 0.348
5373, 0.357
5374, 0.356
5375, 0.341
5376, 0.340
5377, 0.337
5378, 0.335
5379, 0.331
5380, 0.337
5381, 0.343
5382, 0.349
5383, 0.354
5384, 0.346
5385, 0.345
5386, 0.344
5387, 0.339
5388, 0.339
5389, 0.339
5390, 0.346
5391, 0.348
5392, 0.359
5393, 0.373
5394, 0.360
5395, 0.370
5396, 0.367
5397, 0.368
5398, 0.364
5399, 0.363
5400, 0.364
5401, 0.367
5402, 0.357
5403, 0.359
5404, 0.351
5405, 0.350
5406, 0.340
5407, 0.335
5408, 0.338
5409, 0.336
5410, 0.337
5411, 0.342
5412, 0.346
5413, 0.348
5414, 0.346
5415, 0.341
5416, 0.334
5417, 0.332
5418, 0.335
5419, 0.333
5420, 0.328
5421, 0.319
5422, 0.323
5423, 0.326
5424, 0.316
5425, 0.314
5426, 0.314
5427, 0.316
5428, 0.313
5429, 0.316
5430, 0.311
5431, 0.303
5432, 0.320
5433, 0.329
5434, 0.341
5435, 0.336
5436, 0.324
5437, 0.321
5438, 0.335
5439, 0.333
5440, 0.331
5441, 0.328
5442, 0.315
5443, 0.302
5444, 0.301
5445, 0.297
5446, 0.301
5447, 0.302
5448, 0.299
5449, 0.287
5450, 0.290
5451, 0.298
5452, 0.303
5453, 0.300
5454, 0.294
5455, 0.299
5456, 0.290
5457, 0.288
5458, 0.285
5459, 0.290
5460, 0.292
5461, 0.282
5462, 0.291
5463, 0.295
5464, 0.296
5465, 0.296
5466, 0.295
5467, 0.279
5468, 0.275
5469, 0.268
5470, 0.277
5471, 0.270
5472, 0.268
5473, 0.268
5474, 0.270
5475, 0.282
5476, 0.284
5477, 0.284
5478, 0.284
5479, 0.292
5480, 0.297
5481, 0.294
5482, 0.297
5483, 0.294
5484, 0.293
5485, 0.294
5486, 0.296
5487, 0.309
5488, 0.304
5489, 0.307
5490, 0.296
5491, 0.301
5492, 0.302
5493, 0.301
5494, 0.304
5495, 0.315
5496, 0.319
5497, 0.318
5498, 0.318
5499, 0.319
5500, 0.333
5501, 0.341
5502, 0.344
5503, 0.342
5504, 0.355
5505, 0.349
5506, 0.349
5507, 0.358
5508, 0.363
5509, 0.370
5510, 0.377
5511, 0.370
5512, 0.358
5513, 0.362
5514, 0.362
5515, 0.367
5516, 0.379
5517, 0.383
5518, 0.380
5519, 0.378
5520, 0.372
5521, 0.377
5522, 0.368
5523, 0.361
5524, 0.370
5525, 0.375
5526, 0.377
5527, 0.378
5528, 0.378
5529, 0.380
5530, 0.378
5531, 0.389
5532, 0.390
5533, 0.392
5534, 0.379
5535, 0.383
5536, 0.384
5537, 0.388
5538, 0.397
5539, 0.399
5540, 0.407
5541, 0.414
5542, 0.405
5543, 0.402
5544, 0.413
5545, 0.410
5546, 0.410
5547, 0.404
5548, 0.405
5549, 0.406
5550, 0.407
5551, 0.410
5552, 0.404
5553, 0.410
5554, 0.426
5555, 0.421
5556, 0.419
5557, 0.413
5558, 0.406
5559, 0.409
5560, 0.407
5561, 0.421
5562, 0.427
5563, 0.437
5564, 0.450
5565, 0.452
5566, 0.449
5567, 0.443
5568, 0.446
5569, 0.443
5570, 0.455
5571, 0.462
5572, 0.458
5573, 0.461
5574, 0.455
5575, 0.461
5576, 0.461
5577, 0.446
5578, 0.451
5579, 0.447
5580, 0.440
5581, 0.433
5582, 0.438
5583, 0.434
5584, 0.435
5585, 0.445
5586, 0.441
5587, 0.433
5588, 0.422
5589, 0.437
5590, 0.441
5591, 0.450
5592, 0.455
5593, 0.456
5594, 0.447
5595, 0.448
5596, 0.464
5597, 0.466
5598, 0.466
5599, 0.462
5600, 0.462
5601, 0.474
5602, 0.474
5603, 0.473
5604, 0.455
5605, 0.462
5606, 0.460
5607, 0.464
5608, 0.463
5609, 0.464
5610, 0.470
5611, 0.469
5612, 0.462
5613, 0.462
5614, 0.464
5615, 0.458
5616, 0.459
5617, 0.465
5618, 0.459
5619, 0.460
5620, 0.461
5621, 0.460
5622, 0.463
5623, 0.462
5624, 0.461
5625, 0.458
5626, 0.467
5627, 0.461
5628, 0.453
5629, 0.456
5630, 0.453
5631, 0.445
5632, 0.446
5633, 0.449
5634, 0.440
5635, 0.441
5636, 0.447
5637, 0.456
5638, 0.462
5639, 0.457
5640, 0.448
5641, 0.444
5642, 0.431
5643, 0.436
5644, 0.428
5645, 0.422
5646, 0.424
5647, 0.423
5648, 0.414
5649, 0.424
5650, 0.428
5651, 0.426
5652, 0.419
5653, 0.424
5654, 0.426
5655, 0.427
5656, 0.434
5657, 0.425
5658, 0.433
5659, 0.434
5660, 0.432
5661, 0.430
5662, 0.430
5663, 0.430
5664, 0.426
5665, 0.422
5666, 0.417
5667, 0.417
5668, 0.421
5669, 0.411
5670, 0.417
5671, 0.416
5672, 0.411
5673, 0.411
5674, 0.405
5675, 0.400
5676, 0.397
5677, 0.400
5678, 0.390
5679, 0.396
5680, 0.395
5681, 0.385
5682, 0.383
5683, 0.382
5684, 0.385
5685, 0.380
5686, 0.389
5687, 0.387
5688, 0.385
5689, 0.394
5690, 0.403
5691, 0.408
5692, 0.403
5693, 0.404
5694, 0.398
5695, 0.394
5696, 0.395
5697, 0.402
5698, 0.406
5699, 0.408
5700, 0.406
5701, 0.403
5702, 0.403
5703, 0.406
5704, 0.414
5705, 0.415
5706, 0.414
5707, 0.414
5708, 0.412
5709, 0.413
5710, 0.413
5711, 0.402
5712, 0.401
5713, 0.399
5714, 0.396
5715, 0.390
5716, 0.389
5717, 0.386
5718, 0.375
5719, 0.383
5720, 0.378
5721, 0.381
5722, 0.383
5723, 0.394
5724, 0.390
5725, 0.380
5726, 0.392
5727, 0.401
5728, 0.399
5729, 0.391
5730, 0.392
5731, 0.392
5732, 0.397
5733, 0.407
5734, 0.418
5735, 0.425
5736, 0.422
5737, 0.426
5738, 0.424
5739, 0.417
5740, 0.417
5741, 0.410
5742, 0.397
5743, 0.398
5744, 0.395
5745, 0.388
5746, 0.401
5747, 0.395
5748, 0.397
5749, 0.391
5750, 0.400
5751, 0.403
5752, 0.401
5753, 0.387
5754, 0.387
5755, 0.398
5756, 0.404
5757, 0.403
5758, 0.411
5759, 0.403
5760, 0.402
5761, 0.402
5762, 0.405
5763, 0.404
5764, 0.406
5765, 0.406
5766, 0.399
5767, 0.406
5768, 0.413
5769, 0.410
5770, 0.407
5771, 0.399
5772, 0.401
5773, 0.401
5774, 0.405
5775, 0.403
5776, 0.396
5777, 0.397
5778, 0.404
5779, 0.409
5780, 0.402
5781, 0.387
5782, 0.396
5783, 0.397
5784, 0.392
5785, 0.405
5786, 0.407
5787, 0.408
5788, 0.403
5789, 0.403
5790, 0.409
5791, 0.415
5792, 0.414
5793, 0.407
5794, 0.410
5795, 0.421
5796, 0.402
5797, 0.403
5798, 0.394
5799, 0.396
5800, 0.398
5801, 0.405
5802, 0.407
5803, 0.396
5804, 0.385
5805, 0.377
5806, 0.373
5807, 0.374
5808, 0.376
5809, 0.384
5810, 0.380
5811, 0.376
5812, 0.379
5813, 0.369
5814, 0.376
5815, 0.377
5816, 0.380
5817, 0.385
5818, 0.383
5819, 0.387
5820, 0.377
5821, 0.375
5822, 0.375
5823, 0.374
5824, 0.380
5825, 0.378
5826, 0.376
5827, 0.379
5828, 0.377
5829, 0.377
5830, 0.377
5831, 0.372
5832, 0.370
5833, 0.354
5834, 0.359
5835, 0.368
5836, 0.366
5837, 0.372
5838, 0.380
5839, 0.378
5840, 0.374
5841, 0.374
5842, 0.361
5843, 0.362
5844, 0.374
5845, 0.373
5846, 0.365
5847, 0.354
5848, 0.342
5849, 0.355
5850, 0.349
5851, 0.344
5852, 0.355
5853, 0.342
5854, 0.348
5855, 0.336
5856, 0.337
5857, 0.342
5858, 0.340
5859, 0.341
5860, 0.337
5861, 0.322
5862, 0.326
5863, 0.319
5864, 0.317
5865, 0.320
5866, 0.313
5867, 0.324
5868, 0.330
5869, 0.322
5870, 0.324
5871, 0.326
5872, 0.325
5873, 0.329
5874, 0.337
5875, 0.338
5876, 0.338
5877, 0.346
5878, 0.350
5879, 0.356
5880, 0.363
5881, 0.371
5882, 0.370
5883, 0.364
5884, 0.367
5885, 0.368
5886, 0.370
5887, 0.377
5888, 0.377
5889, 0.370
5890, 0.372
5891, 0.378
5892, 0.374
5893, 0.363
5894, 0.368
5895, 0.364
5896, 0.380
5897, 0.376
5898, 0.389
5899, 0.390
5900, 0.384
5901, 0.383
5902, 0.379
5903, 0.374
5904, 0.381
5905, 0.376
5906, 0.366
5907, 0.364
5908, 0.369
5909, 0.373
5910, 0.383
5911, 0.395
5912, 0.392
5913, 0.392
5914, 0.397
5915, 0.398
5916, 0.394
5917, 0.406
5918, 0.401
5919, 0.407
5920, 0.413
5921, 0.407
5922, 0.413
5923, 0.413
5924, 0.419
5925, 0.411
5926, 0.405
5927, 0.409
5928, 0.401
5929, 0.393
5930, 0.395
5931, 0.397
5932, 0.396
5933, 0.394
5934, 0.388
5935, 0.390
5936, 0.374
5937, 0.379
5938, 0.370
5939, 0.369
5940, 0.369
5941, 0.377
5942, 0.374
5943, 0.376
5944, 0.368
5945, 0.364
5946, 0.369
5947, 0.374
5948, 0.380
5949, 0.375
5950, 0.375
5951, 0.377
5952, 0.381
5953, 0.383
5954, 0.391
5955, 0.392
5956, 0.397
5957, 0.396
5958, 0.384
5959, 0.386
5960, 0.398
5961, 0.399
5962, 0.402
5963, 0.395
5964, 0.395
5965, 0.397
5966, 0.399
5967, 0.400
5968, 0.402
5969, 0.398
5970, 0.394
5971, 0.399
5972, 0.397
5973, 0.407
5974, 0.408
5975, 0.402
5976, 0.405
5977, 0.394
5978, 0.389
5979, 0.377
5980, 0.371
5981, 0.379
5982, 0.371
5983, 0.371
5984, 0.374
5985, 0.378
5986, 0.379
5987, 0.381
5988, 0.370
5989, 0.371
5990, 0.369
5991, 0.367
5992, 0.365
5993, 0.368
5994, 0.367
5995, 0.372
5996, 0.369
5997, 0.381
5998, 0.374
5999, 0.377
6000, 0.371
6001, 0.378
6002, 0.372
6003, 0.381
6004, 0.382
6005, 0.390
6006, 0.390
6007, 0.378
6008, 0.376
6009, 0.376
6010, 0.374
6011, 0.385
6012, 0.386
6013, 0.385
6014, 0.373
6015, 0.377
6016, 0.380
6017, 0.379
6018, 0.373
6019, 0.377
6020, 0.375
6021, 0.382
6022, 0.373
6023, 0.373
6024, 0.371
6025, 0.372
6026, 0.373
6027, 0.364
6028, 0.358
6029, 0.352
6030, 0.348
6031, 0.343
6032, 0.331
6033, 0.340
6034, 0.345
6035, 0.346
6036, 0.338
6037, 0.332
6038, 0.327
6039, 0.321
6040, 0.314
6041, 0.320
6042, 0.318
6043, 0.321
6044, 0.325
6045, 0.323
6046, 0.323
6047, 0.330
6048, 0.330
6049, 0.330
6050, 0.319
6051, 0.316
6052, 0.315
6053, 0.311
6054, 0.302
6055, 0.293
6056, 0.290
6057, 0.288
6058, 0.293
6059, 0.300
6060, 0.292
6061, 0.281
6062, 0.271
6063, 0.273
6064, 0.264
6065, 0.271
6066, 0.266
6067, 0.264
6068, 0.262
6069, 0.263
6070, 0.256
6071, 0.256
6072, 0.261
6073, 0.276
6074, 0.275
6075, 0.277
6076, 0.279
6077, 0.274
6078, 0.265
6079, 0.269
6080, 0.263
6081, 0.262
6082, 0.266
6083, 0.256
6084, 0.262
6085, 0.261
6086, 0.255
6087, 0.258
6088, 0.246
6089, 0.245
6090, 0.241
6091, 0.255
6092, 0.261
6093, 0.255
6094, 0.252
6095, 0.241
6096, 0.251
6097, 0.253
6098, 0.249
6099, 0.243
6100, 0.236
6101, 0.232
6102, 0.227
6103, 0.218
6104, 0.214
6105, 0.222
6106, 0.226
6107, 0.238
6108, 0.246
6109, 0.243
6110, 0.239
6111, 0.250
6112, 0.259
6113, 0.256
6114, 0.257
6115, 0.259
6116, 0.271
6117, 0.277
6118, 0.282
6119, 0.279
6120, 0.277
6121, 0.284
6122, 0.278
6123, 0.274
6124, 0.270
6125, 0.285
6126, 0.288
6127, 0.299
6128, 0.301
6129, 0.294
6130, 0.297
6131, 0.290
6132, 0.281
6133, 0.281
6134, 0.279
6135, 0.285
6136, 0.280
6137, 0.276
6138, 0.271
6139, 0.261
6140, 0.272
6141, 0.264
6142, 0.270
6143, 0.269
6144, 0.271
6145, 0.268
6146, 0.269
6147, 0.275
6148, 0.278
6149, 0.286
6150, 0.286
6151, 0.294
6152, 0.288
6153, 0.292
6154, 0.302
6155, 0.309
6156, 0.317
6157, 0.328
6158, 0.319
6159, 0.314
6160, 0.314
6161, 0.310
6162, 0.301
6163, 0.298
6164, 0.295
6165, 0.282
6166, 0.290
6167, 0.292
6168, 0.301
6169, 0.297
6170, 0.299
6171, 0.304
6172, 0.294
6173, 0.295
6174, 0.302
6175, 0.306
6176, 0.307
6177, 0.303
6178, 0.299
6179, 0.289
6180, 0.293
6181, 0.289
6182, 0.292
6183, 0.282
6184, 0.287
6185, 0.287
6186, 0.277
6187, 0.275
6188, 0.274
6189, 0.279
6190, 0.279
6191, 0.269
6192, 0.269
6193, 0.254
6194, 0.266
6195, 0.283
6196, 0.281
6197, 0.282
6198, 0.280
6199, 0.286
6200, 0.281
6201, 0.283
6202, 0.271
6203, 0.272
6204, 0.286
6205, 0.279
6206, 0.279
6207, 0.286
6208, 0.293
6209, 0.296
6210, 0.308
6211, 0.308
6212, 0.307
6213, 0.317
6214, 0.312
6215, 0.303
6216, 0.311
6217, 0.316
6218, 0.312
6219, 0.307
6220, 0.302
6221, 0.311
6222, 0.308
6223, 0.307
6224, 0.309
6225, 0.321
6226, 0.331
6227, 0.331
6228, 0.335
6229, 0.327
6230, 0.324
6231, 0.331
6232, 0.334
6233, 0.337
6234, 0.341
6235, 0.330
6236, 0.328
6237, 0.338
6238, 0.328
6239, 0.337
6240, 0.334
6241, 0.332
6242, 0.338
6243, 0.331
6244, 0.319
6245, 0.327
6246, 0.324
6247, 0.318
6248, 0.304
6249, 0.306
6250, 0.297
6251, 0.307
6252, 0.303
6253, 0.299
6254, 0.310
6255, 0.313
6256, 0.308
6257, 0.312
6258, 0.314
6259, 0.313
6260, 0.318
6261, 0.314
6262, 0.313
6263, 0.302
6264, 0.315
6265, 0.315
6266, 0.318
6267, 0.318
6268, 0.321
6269, 0.319
6270, 0.299
6271, 0.300
6272, 0.291
6273, 0.290
6274, 0.286
6275, 0.296
6276, 0.296
6277, 0.288
6278, 0.293
6279, 0.293
6280, 0.292
6281, 0.285
6282, 0.290
6283, 0.287
6284, 0.288
6285, 0.273
6286, 0.270
6287, 0.272
6288, 0.270
6289, 0.268
6290, 0.262
6291, 0.256
6292, 0.251
6293, 0.256
6294, 0.254
6295, 0.251
6296, 0.259
6297, 0.256
6298, 0.248
6299, 0.251
6300, 0.250
6301, 0.252
6302, 0.267
6303, 0.263
6304, 0.268
6305, 0.267
6306, 0.269
6307, 0.276
6308, 0.286
6309, 0.277
6310, 0.276
6311, 0.277
6312, 0.273
6313, 0.279
6314, 0.279
6315, 0.285
6316, 0.283
6317, 0.277
6318, 0.287
6319, 0.291
6320, 0.302
6321, 0.308
6322, 0.316
6323, 0.328
6324, 0.314
6325, 0.315
6326, 0.302
6327, 0.301
6328, 0.304
6329, 0.293
6330, 0.300
6331, 0.296
6332, 0.305
6333, 0.299
6334, 0.295
6335, 0.292
6336, 0.295
6337, 0.295
6338, 0.293
6339, 0.281
6340, 0.272
6341, 0.268
6342, 0.267
6343, 0.265
6344, 0.269
6345, 0.275
6346, 0.265
6347, 0.262
6348, 0.252
6349, 0.256
6350, 0.254
6351, 0.263
6352, 0.259
6353, 0.268
6354, 0.267
6355, 0.272
6356, 0.281
6357, 0.289
6358, 0.296
6359, 0.304
6360, 0.306
6361, 0.314
6362, 0.309
6363, 0.311
6364, 0.316
6365, 0.315
6366, 0.309
6367, 0.300
6368, 0.294
6369, 0.296
6370, 0.291
6371, 0.293
6372, 0.290
6373, 0.282
6374, 0.286
6375, 0.275
6376, 0.277
6377, 0.273
6378, 0.269
6379, 0.272
6380, 0.268
6381, 0.265
6382, 0.260
6383, 0.261
6384, 0.243
6385, 0.239
6386, 0.246
6387, 0.228
6388, 0.233
6389, 0.240
6390, 0.244
6391, 0.244
6392, 0.243
6393, 0.234
6394, 0.235
6395, 0.239
6396, 0.240
6397, 0.241
6398, 0.256
6399, 0.255
6400, 0.251
6401, 0.259
6402, 0.259
6403, 0.248
6404, 0.246
6405, 0.261
6406, 0.255
6407, 0.253
6408, 0.254
6409, 0.257
6410, 0.268
6411, 0.274
6412, 0.264
6413, 0.257
6414, 0.257
6415, 0.241
6416, 0.238
6417, 0.236
6418, 0.236
6419, 0.233
6420, 0.222
6421, 0.212
6422, 0.202
6423, 0.197
6424, 0.202
6425, 0.210
6426, 0.211
6427, 0.207
6428, 0.212
6429, 0.220
6430, 0.210
6431, 0.204
6432, 0.196
6433, 0.191
6434, 0.193
6435, 0.187
6436, 0.181
6437, 0.182
6438, 0.179
6439, 0.180
6440, 0.179
6441, 0.181
6442, 0.180
6443, 0.183
6444, 0.181
6445, 0.189
6446, 0.188
6447, 0.196
6448, 0.198
6449, 0.194
6450, 0.199
6451, 0.203
6452, 0.205
6453, 0.202
6454, 0.192
6455, 0.187
6456, 0.184
6457, 0.194
6458, 0.189
6459, 0.180
6460, 0.180
6461, 0.182
6462, 0.194
6463, 0.188
6464, 0.196
6465, 0.197
6466, 0.189
6467, 0.198
6468, 0.193
6469, 0.195
6470, 0.197
6471, 0.210
6472, 0.209
6473, 0.221
6474, 0.228
6475, 0.227
6476, 0.228
6477, 0.220
6478, 0.216
6479, 0.212
6480, 0.220
6481, 0.213
6482, 0.214
6483, 0.216
6484, 0.216
6485, 0.207
6486, 0.197
6487, 0.191
6488, 0.183
6489, 0.184
6490, 0.164
6491, 0.166
6492, 0.176
6493, 0.168
6494, 0.167
6495, 0.172
6496, 0.174
6497, 0.176
6498, 0.178
6499, 0.179
6500, 0.182
6501, 0.188
6502, 0.182
6503, 0.186
6504, 0.179
6505, 0.186
6506, 0.194
6507, 0.191
6508, 0.192
6509, 0.189
6510, 0.185
6511, 0.192
6512, 0.191
6513, 0.197
6514, 0.198
6515, 0.203
6516, 0.210
6517, 0.212
6518, 0.214
6519, 0.208
6520, 0.194
6521, 0.195
6522, 0.197
6523, 0.197
6524, 0.200
6525, 0.204
6526, 0.211
6527, 0.210
6528, 0.217
6529, 0.216
6530, 0.203
6531, 0.208
6532, 0.212
6533, 0.209
6534, 0.220
6535, 0.232
6536, 0.237
6537, 0.234
6538, 0.235
6539, 0.232
6540, 0.222
6541, 0.224
6542, 0.218
6543, 0.231
6544, 0.232
6545, 0.225
6546, 0.225
6547, 0.231
6548, 0.239
6549, 0.232
6550, 0.236
6551, 0.251
6552, 0.253
6553, 0.248
6554, 0.252
6555, 0.250
6556, 0.250
6557, 0.239
6558, 0.237
6559, 0.232
6560, 0.232
6561, 0.223
6562, 0.229
6563, 0.228
6564, 0.224
6565, 0.212
6566, 0.211
6567, 0.222
6568, 0.210
6569, 0.209
6570, 0.214
6571, 0.212
6572, 0.223
6573, 0.217
6574, 0.218
6575, 0.219
6576, 0.216
6577, 0.221
6578, 0.210
6579, 0.212
6580, 0.212
6581, 0.214
6582, 0.222
6583, 0.217
6584, 0.216
6585, 0.213
6586, 0.213
6587, 0.210
6588, 0.209
6589, 0.199
6590, 0.205
6591, 0.214
6592, 0.207
6593, 0.205
6594, 0.211
6595, 0.220
6596, 0.208
6597, 0.204
6598, 0.205
