T,M
456, 0.134
457, 0.121
458, 0.108
459, 0.108
460, 0.111
461, 0.095
462, 0.094
463, 0.093
464, 0.094
465, 0.098
466, 0.085
467, 0.075
468, 0.076
469, 0.079
470, 0.090
471, 0.096
472, 0.085
473, 0.086
474, 0.074
475, 0.078
476, 0.072
477, 0.075
478, 0.079
479, 0.078
480, 0.073
481, 0.077
482, 0.083
483, 0.089
484, 0.090
485, 0.088
486, 0.091
487, 0.088
488, 0.089
489, 0.089
490, 0.089
491, 0.088
492, 0.093
493, 0.091
494, 0.095
495, 0.091
496, 0.096
497, 0.092
498, 0.083
499, 0.079
500, 0.088
501, 0.089
502, 0.087
503, 0.093
504, 0.094
505, 0.095
506, 0.105
507, 0.105
508, 0.106
509, 0.102
510, 0.105
511, 0.100
512, 0.095
513, 0.107
514, 0.104
515, 0.105
516, 0.097
517, 0.087
518, 0.098
519, 0.097
520, 0.092
521, 0.087
522, 0.084
523, 0.072
524, 0.073
525, 0.088
526, 0.077
527, 0.072
528, 0.072
529, 0.076
530, 0.075
531, 0.067
532, 0.071
533, 0.071
534, 0.082
535, 0.081
536, 0.082
537, 0.081
538, 0.083
539, 0.080
540, 0.075
541, 0.072
542, 0.060
543, 0.062
544, 0.052
545, 0.036
546, 0.032
547, 0.015
548, 0.010
549, 0.020
550, 0.026
551, 0.032
552, 0.026
553, 0.026
554, 0.017
555, 0.019
556, 0.018
557, 0.011
558, 0.006
559, 0.015
560, 0.011
561, 0.014
562, 0.020
563, 0.014
564, 0.019
565, 0.018
566, 0.020
567, 0.021
568, 0.020
569, 0.009
570, 0.005
571, -0.002
572, -0.005
573, 0.001
574, -0.008
575, -0.008
576, -0.004
577, -0.008
578, -0.007
579, -0.001
580, 0.007
581, 0.016
582, 0.020
583, 0.021
584, 0.015
585, 0.007
586, 0.004
587, -0.000
588, -0.000
589, -0.003
590, -0.001
591, -0.005
592, -0.003
593, -0.007
594, -0.013
595, -0.007
596, -0.013
597, -0.003
598, -0.009
599, -0.008
600, -0.005
601, -0.002
602, -0.009
603, -0.009
604, -0.010
605, -0.007
606, -0.009
607, -0.007
608, -0.009
609, -0.011
610, -0.018
611, -0.021
612, -0.020
613, -0.021
614, -0.024
615, -0.013
616, -0.005
617, -0.007
618, -0.002
619, 0.001
620, 0.001
621, 0.006
622, -0.003
623, 0.003
624, -0.000
625, 0.005
626, 0.007
627, 0.007
628, 0.002
629, -0.002
630, -0.002
631, -0.001
632, -0.009
633, 0.002
634, -0.005
635, 0.002
636, -0.008
637, -0.003
638, -0.000
639, -0.004
640, -0.003
641, -0.004
642, -0.003
643, -0.006
644, -0.011
645, -0.008
646, 0.005
647, 0.005
648, 0.001
649, -0.004
650, -0.009
651, 0.001
652, 0.002
653, 0.006
654, -0.001
655, 0.000
656, -0.006
657, -0.004
658, -0.005
659, -0.015
660, -0.017
661, -0.013
662, -0.017
663, -0.012
664, -0.012
665, -0.016
666, -0.028
667, -0.021
668, -0.029
669, -0.025
670, -0.021
671, -0.015
672, -0.009
673, -0.009
674, -0.004
675, 0.002
676, 0.003
677, 0.005
678, 0.011
679, 0.008
680, -0.002
681, -0.007
682, -0.005
683, -0.009
684, -0.010
685, -0.008
686, -0.003
687, -0.010
688, -0.008
689, -0.009
690, -0.018
691, -0.028
692, -0.027
693, -0.026
694, -0.022
695, -0.016
696, -0.018
697, -0.018
698, -0.012
699, -0.010
700, 0.000
701, -0.004
702, -0.014
703, -0.025
704, -0.033
705, -0.020
706, -0.017
707, -0.021
708, -0.030
709, -0.026
710, -0.015
711, -0.012
712, -0.001
713, -0.002
714, -0.007
715, -0.007
716, -0.019
717, -0.020
718, -0.027
719, -0.019
720, -0.014
721, -0.025
722, -0.029
723, -0.025
724, -0.026
725, -0.020
726, -0.025
727, -0.028
728, -0.031
729, -0.033
730, -0.029
731, -0.018
732, -0.027
733, -0.032
734, -0.029
735, -0.034
736, -0.032
737, -0.024
738, -0.025
739, -0.027
740, -0.035
741, -0.037
742, -0.038
743, -0.034
744, -0.031
745, -0.027
746, -0.034
747, -0.032
748, -0.035
749, -0.035
750, -0.041
751, -0.045
752, -0.045
753, -0.033
754, -0.032
755, -0.028
756, -0.024
757, -0.009
758, -0.013
759, -0.011
760, -0.000
761, -0.010
762, -0.015
763, -0.012
764, -0.016
765, -0.008
766, -0.001
767, 0.004
768, 0.004
769, 0.001
770, 0.009
771, 0.012
772, 0.009
773, 0.009
774, 0.009
775, 0.004
776, 0.007
777, 0.005
778, -0.004
779, 0.000
780, -0.000
781, -0.003
782, -0.015
783, -0.021
784, -0.028
785, -0.031
786, -0.030
787, -0.024
788, -0.027
789, -0.017
790, -0.009
791, -0.004
792, 0.000
793, -0.009
794, -0.014
795, -0.019
796, -0.017
797, -0.014
798, -0.024
799, -0.024
800, -0.023
801, -0.025
802, -0.029
803, -0.024
804, -0.025
805, -0.018
806, -0.016
807, -0.018
808, -0.018
809, -0.021
810, -0.024
811, -0.025
812, -0.026
813, -0.014
814, -0.016
815, -0.017
816, -0.030
817, -0.029
818, -0.036
819, -0.047
820, -0.039
821, -0.045
822, -0.039
823, -0.044
824, -0.044
825, -0.041
826, -0.046
827, -0.056
828, -0.055
829, -0.052
830, -0.052
831, -0.059
832, -0.068
833, -0.062
834, -0.067
835, -0.062
836, -0.073
837, -0.065
838, -0.079
839, -0.065
840, -0.073
841, -0.085
842, -0.094
843, -0.084
844, -0.086
845, -0.094
846, -0.092
847, -0.089
848, -0.092
849, -0.088
850, -0.086
851, -0.094
852, -0.094
853, -0.084
854, -0.082
855, -0.089
